,Segment,Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Net Sales,COGS,Order Date,Shipping Cost,Taxes,Category,Region,Shipping Method,Payment Method,Customer Segment,Order Priority,Promotion,Return Status,Order Channel,Region Manager,Marketing Source
14,Enterprise,Canada,Montana,None,345,125,43125,0,43125,41400,2013-10-01 Enterprise Canada Montana,1725,6468.75,Category3,West,Priority,Credit Card,Retail,High,Flash Sale,Returned,Online,Manager2,Social Media
15,Midmarket,United States of America,Montana,None,615,15,9225,0,9225,6150,2014-12-01 Midmarket United States of America Montana,3075,1383.75,Category3,East,Standard,PayPal,Retail,Medium,Flash Sale,Not Returned,Online,Manager2,Email Campaign
16,Government,Canada,Paseo,None,292,20,5840,0,5840,2920,2014-02-01 Government Canada Paseo,1460,876,Category2,East,Standard,Cash,Retail,Medium,,Not Returned,Online,Manager3,Email Campaign
17,Midmarket,Mexico,Paseo,None,974,15,14610,0,14610,9740,2014-02-01 Midmarket Mexico Paseo,4870,2191.5,,West,Priority,Cash,Wholesale,Low,Summer Sale,,In-Store,Manager3,
18,Channel Partners,Canada,Paseo,None,2518,12,30216,0,30216,7554,2014-06-01 Channel Partners Canada Paseo,12590,4532.4,Category1,South,Express,Cash,Retail,High,,Not Returned,Online,Manager2,TV Ads
19,Government,Germany,Paseo,None,1006,350,352100,0,352100,261560,2014-06-01 Government Germany Paseo,5030,52815,Category3,South,Priority,Cash,Retail,Medium,Summer Sale,Returned,In-Store,Manager2,Email Campaign
20,Channel Partners,Germany,Paseo,None,367,12,4404,0,4404,1101,2014-07-01 Channel Partners Germany Paseo,1835,660.6,Category3,North,Priority,Credit Card,Retail,Medium,Summer Sale,Returned,Online,Manager1,
21,Government,Mexico,Paseo,None,883,7,6181,0,6181,4415,2014-08-01 Government Mexico Paseo,4415,927.15,Category1,South,Standard,PayPal,Wholesale,Medium,Flash Sale,,Online,Manager3,TV Ads
22,Midmarket,France,Paseo,None,549,15,8235,0,8235,5490,2013-09-01 Midmarket France Paseo,2745,1235.25,Category1,East,Priority,Cash,Retail,Medium,Summer Sale,Returned,In-Store,Manager3,
23,Small Business,Mexico,Paseo,None,788,300,236400,0,236400,197000,2013-09-01 Small Business Mexico Paseo,3940,35460,Category1,North,Standard,Credit Card,Retail,Medium,Summer Sale,,Online,Manager2,Email Campaign
24,Midmarket,Mexico,Paseo,None,2472,15,37080,0,37080,24720,2014-09-01 Midmarket Mexico Paseo,12360,5562,,South,Standard,PayPal,Retail,High,Holiday Discount,,In-Store,Manager2,Social Media
25,Government,United States of America,Paseo,None,1143,7,8001,0,8001,5715,2014-10-01 Government United States of America Paseo,5715,1200.15,Category1,East,Standard,Cash,Retail,Low,Summer Sale,Not Returned,Phone,Manager3,Email Campaign
26,Government,Canada,Paseo,None,1725,350,603750,0,603750,448500,2013-11-01 Government Canada Paseo,8625,90562.5,Category3,West,Standard,Cash,Retail,High,,Not Returned,Phone,Manager2,Social Media
27,Channel Partners,United States of America,Paseo,None,912,12,10944,0,10944,2736,2013-11-01 Channel Partners United States of America Paseo,4560,1641.6,,South,Standard,Credit Card,Wholesale,Low,,Not Returned,Online,Manager1,Social Media
28,Midmarket,Canada,Paseo,None,2152,15,32280,0,32280,21520,2013-12-01 Midmarket Canada Paseo,10760,4842,Category1,West,Express,Cash,Retail,Low,Summer Sale,,Phone,Manager3,Email Campaign
29,Government,Canada,Paseo,None,1817,20,36340,0,36340,18170,2014-12-01 Government Canada Paseo,9085,5451,Category2,East,Standard,PayPal,Retail,Medium,,,In-Store,Manager1,
30,Government,Germany,Paseo,None,1513,350,529550,0,529550,393380,2014-12-01 Government Germany Paseo,7565,79432.5,Category1,East,Priority,Credit Card,Wholesale,High,,Returned,Phone,Manager1,Email Campaign
31,Government,Mexico,Velo,None,1493,7,10451,0,10451,7465,2014-01-01 Government Mexico Velo,7465,1567.65,Category3,West,Express,Credit Card,Wholesale,High,Holiday Discount,,Online,Manager3,TV Ads
32,Enterprise,France,Velo,None,1804,125,225500,0,225500,216480,2014-02-01 Enterprise France Velo,9020,33825,Category2,South,Standard,Cash,Retail,Medium,,Returned,Phone,Manager3,Social Media
33,Channel Partners,Germany,Velo,None,2161,12,25932,0,25932,6483,2014-03-01 Channel Partners Germany Velo,10805,3889.8,Category2,West,Priority,PayPal,Retail,Low,Summer Sale,Returned,Phone,Manager2,
34,Government,Germany,Velo,None,1006,350,352100,0,352100,261560,2014-06-01 Government Germany Velo,5030,52815,Category2,North,Priority,Credit Card,Retail,Low,Summer Sale,,Online,Manager1,
35,Channel Partners,Germany,Velo,None,1545,12,18540,0,18540,4635,2014-06-01 Channel Partners Germany Velo,7725,2781,,West,Express,Cash,Retail,High,Summer Sale,Not Returned,In-Store,Manager2,Social Media
36,Enterprise,United States of America,Velo,None,2821,125,352625,0,352625,338520,2014-08-01 Enterprise United States of America Velo,14105,52893.75,Category1,East,Express,PayPal,Retail,High,,,In-Store,Manager3,TV Ads
37,Enterprise,Canada,Velo,None,345,125,43125,0,43125,41400,2013-10-01 Enterprise Canada Velo,1725,6468.75,Category2,East,Express,Cash,Retail,Low,Holiday Discount,Not Returned,In-Store,Manager3,
38,Small Business,Canada,VTT,None,2001,300,600300,0,600300,500250,2014-02-01 Small Business Canada VTT,10005,90045,Category3,South,Priority,Cash,Wholesale,Low,,Returned,In-Store,Manager3,Email Campaign
39,Channel Partners,Germany,VTT,None,2838,12,34056,0,34056,8514,2014-04-01 Channel Partners Germany VTT,14190,5108.4,Category2,North,Standard,Cash,Wholesale,High,Flash Sale,,Online,Manager2,Email Campaign
40,Midmarket,France,VTT,None,2178,15,32670,0,32670,21780,2014-06-01 Midmarket France VTT,10890,4900.5,Category2,North,Express,Credit Card,Wholesale,Low,Flash Sale,Not Returned,Online,Manager2,Social Media
41,Midmarket,Germany,VTT,None,888,15,13320,0,13320,8880,2014-06-01 Midmarket Germany VTT,4440,1998,Category2,West,Standard,PayPal,Wholesale,Low,Flash Sale,,Phone,Manager1,Social Media
42,Government,France,VTT,None,1527,350,534450,0,534450,397020,2013-09-01 Government France VTT,7635,80167.5,Category1,South,Express,PayPal,Wholesale,Medium,Flash Sale,Returned,In-Store,Manager2,Social Media
43,Small Business,France,VTT,None,2151,300,645300,0,645300,537750,2014-09-01 Small Business France VTT,10755,96795,Category2,West,Priority,PayPal,Wholesale,High,Summer Sale,Not Returned,Phone,Manager2,Social Media
44,Government,Canada,VTT,None,1817,20,36340,0,36340,18170,2014-12-01 Government Canada VTT,9085,5451,,North,Standard,Credit Card,Wholesale,Low,Holiday Discount,Not Returned,In-Store,Manager2,Email Campaign
45,Government,France,Amarilla,None,2750,350,962500,0,962500,715000,2014-02-01 Government France Amarilla,13750,144375,,East,Standard,Cash,Wholesale,High,,Not Returned,Phone,Manager3,
46,Channel Partners,United States of America,Amarilla,None,1953,12,23436,0,23436,5859,2014-04-01 Channel Partners United States of America Amarilla,9765,3515.4,Category3,South,Express,Credit Card,Wholesale,High,,Returned,In-Store,Manager1,Social Media
47,Enterprise,Germany,Amarilla,None,4219.5,125,527437.5,0,527437.5,506340,2014-04-01 Enterprise Germany Amarilla,21097.5,79115.625,Category2,East,Express,Credit Card,Retail,High,,,Online,Manager2,Social Media
48,Government,France,Amarilla,None,1899,20,37980,0,37980,18990,2014-06-01 Government France Amarilla,9495,5697,Category2,East,Express,PayPal,Retail,Medium,Holiday Discount,Not Returned,Online,Manager1,Email Campaign
49,Government,Germany,Amarilla,None,1686,7,11802,0,11802,8430,2014-07-01 Government Germany Amarilla,8430,1770.3,Category1,West,Standard,Credit Card,Retail,Low,Holiday Discount,Not Returned,In-Store,Manager2,
50,Channel Partners,United States of America,Amarilla,None,2141,12,25692,0,25692,6423,2014-08-01 Channel Partners United States of America Amarilla,10705,3853.8,Category1,East,Standard,Cash,Retail,Low,Holiday Discount,,Phone,Manager2,TV Ads
51,Government,United States of America,Amarilla,None,1143,7,8001,0,8001,5715,2014-10-01 Government United States of America Amarilla,5715,1200.15,Category1,North,Standard,Credit Card,Retail,High,Summer Sale,Not Returned,Online,Manager1,
52,Midmarket,United States of America,Amarilla,None,615,15,9225,0,9225,6150,2014-12-01 Midmarket United States of America Amarilla,3075,1383.75,Category2,South,Standard,Cash,Wholesale,Medium,,Returned,Phone,Manager2,TV Ads
53,Government,France,Paseo,Low,3945,7,27615,276.15,27338.85,19725,2014-01-01 Government France Paseo,19725,4100.8275,Category2,West,Standard,Cash,Retail,High,Flash Sale,Returned,Online,Manager1,Email Campaign
54,Midmarket,France,Paseo,Low,2296,15,34440,344.4,34095.6,22960,2014-02-01 Midmarket France Paseo,11480,5114.34,Category3,South,Express,Cash,Retail,Low,Holiday Discount,Returned,Online,Manager2,Social Media
55,Government,France,Paseo,Low,1030,7,7210,72.1,7137.9,5150,2014-05-01 Government France Paseo,5150,1070.685,Category3,West,Priority,Credit Card,Wholesale,High,Flash Sale,Returned,Online,Manager2,
56,Government,France,Velo,Low,639,7,4473,44.73,4428.27,3195,2014-11-01 Government France Velo,3195,664.2405,Category3,North,Priority,Cash,Wholesale,Low,Flash Sale,Not Returned,Phone,Manager3,
57,Government,Canada,VTT,Low,1326,7,9282,92.82,9189.18,6630,2014-03-01 Government Canada VTT,6630,1378.377,,East,Express,Cash,Retail,Low,Holiday Discount,,Online,Manager1,Email Campaign
58,Channel Partners,United States of America,Carretera,Low,1858,12,22296,222.96,22073.04,5574,2014-02-01 Channel Partners United States of America Carretera,9290,3310.956,Category1,East,Standard,Credit Card,Wholesale,Medium,,Returned,In-Store,Manager3,
59,Government,Mexico,Carretera,Low,1210,350,423500,4235,419265,314600,2014-03-01 Government Mexico Carretera,6050,62889.75,,East,Standard,PayPal,Retail,Medium,,Not Returned,In-Store,Manager1,Email Campaign
60,Government,United States of America,Carretera,Low,2529,7,17703,177.03,17525.97,12645,2014-07-01 Government United States of America Carretera,12645,2628.8955,Category2,North,Priority,Credit Card,Retail,Medium,Summer Sale,Returned,Online,Manager2,Email Campaign
61,Channel Partners,Canada,Carretera,Low,1445,12,17340,173.4,17166.6,4335,2014-09-01 Channel Partners Canada Carretera,7225,2574.99,Category1,West,Standard,PayPal,Retail,High,,Returned,In-Store,Manager3,
62,Enterprise,United States of America,Carretera,Low,330,125,41250,412.5,40837.5,39600,2013-09-01 Enterprise United States of America Carretera,1650,6125.625,Category2,East,Standard,Credit Card,Wholesale,Low,,Not Returned,In-Store,Manager2,TV Ads
63,Channel Partners,France,Carretera,Low,2671,12,32052,320.52,31731.48,8013,2014-09-01 Channel Partners France Carretera,13355,4759.722,,West,Express,Cash,Retail,Low,Holiday Discount,Returned,In-Store,Manager1,Email Campaign
64,Channel Partners,Germany,Carretera,Low,766,12,9192,91.92,9100.08,2298,2013-10-01 Channel Partners Germany Carretera,3830,1365.012,Category2,West,Priority,PayPal,Wholesale,High,Holiday Discount,Returned,Online,Manager2,
65,Small Business,Mexico,Carretera,Low,494,300,148200,1482,146718,123500,2013-10-01 Small Business Mexico Carretera,2470,22007.7,Category2,East,Express,Cash,Retail,High,,Not Returned,Online,Manager3,
66,Government,Mexico,Carretera,Low,1397,350,488950,4889.5,484060.5,363220,2014-10-01 Government Mexico Carretera,6985,72609.075,Category1,West,Priority,Credit Card,Wholesale,Medium,Flash Sale,Returned,In-Store,Manager1,
67,Government,France,Carretera,Low,2155,350,754250,7542.5,746707.5,560300,2014-12-01 Government France Carretera,10775,112006.125,Category2,East,Standard,Credit Card,Wholesale,Medium,Holiday Discount,Not Returned,In-Store,Manager2,
68,Midmarket,Mexico,Montana,Low,2214,15,33210,332.1,32877.9,22140,2014-03-01 Midmarket Mexico Montana,11070,4931.685,Category3,West,Express,Credit Card,Wholesale,High,,Returned,Phone,Manager2,TV Ads
69,Small Business,United States of America,Montana,Low,2301,300,690300,6903,683397,575250,2014-04-01 Small Business United States of America Montana,11505,102509.55,Category1,South,Express,PayPal,Retail,Low,Holiday Discount,Returned,Phone,Manager1,Social Media
70,Government,France,Montana,Low,1375.5,20,27510,275.1,27234.9,13755,2014-07-01 Government France Montana,6877.5,4085.235,Category3,West,Express,PayPal,Wholesale,High,Holiday Discount,Not Returned,Online,Manager2,TV Ads
71,Government,Canada,Montana,Low,1830,7,12810,128.1,12681.9,9150,2014-08-01 Government Canada Montana,9150,1902.285,,West,Express,PayPal,Wholesale,Medium,,Not Returned,In-Store,Manager1,TV Ads
72,Small Business,United States of America,Montana,Low,2498,300,749400,7494,741906,624500,2013-09-01 Small Business United States of America Montana,12490,111285.9,Category2,South,Express,Credit Card,Retail,High,Flash Sale,Returned,Online,Manager3,
73,Enterprise,United States of America,Montana,Low,663,125,82875,828.75,82046.25,79560,2013-10-01 Enterprise United States of America Montana,3315,12306.9375,Category3,North,Standard,PayPal,Wholesale,High,Holiday Discount,,Phone,Manager3,TV Ads
74,Midmarket,United States of America,Paseo,Low,1514,15,22710,227.1,22482.9,15140,2014-02-01 Midmarket United States of America Paseo,7570,3372.435,,West,Express,PayPal,Retail,Medium,Flash Sale,Returned,Online,Manager1,
75,Government,United States of America,Paseo,Low,4492.5,7,31447.5,314.475,31133.025,22462.5,2014-04-01 Government United States of America Paseo,22462.5,4669.95375,Category1,North,Standard,Cash,Retail,Low,,,Phone,Manager3,
76,Enterprise,United States of America,Paseo,Low,727,125,90875,908.75,89966.25,87240,2014-06-01 Enterprise United States of America Paseo,3635,13494.9375,Category1,East,Express,PayPal,Wholesale,Low,Summer Sale,Not Returned,In-Store,Manager1,TV Ads
77,Enterprise,France,Paseo,Low,787,125,98375,983.75,97391.25,94440,2014-06-01 Enterprise France Paseo,3935,14608.6875,,East,Priority,Credit Card,Wholesale,Medium,Flash Sale,Returned,Phone,Manager2,Email Campaign
78,Enterprise,Mexico,Paseo,Low,1823,125,227875,2278.75,225596.25,218760,2014-07-01 Enterprise Mexico Paseo,9115,33839.4375,Category1,South,Standard,Cash,Wholesale,Medium,Summer Sale,Not Returned,Online,Manager3,Email Campaign
79,Midmarket,Germany,Paseo,Low,747,15,11205,112.05,11092.95,7470,2014-09-01 Midmarket Germany Paseo,3735,1663.9425,Category2,West,Standard,PayPal,Wholesale,Medium,Holiday Discount,Not Returned,Phone,Manager3,
80,Channel Partners,Germany,Paseo,Low,766,12,9192,91.92,9100.08,2298,2013-10-01 Channel Partners Germany Paseo,3830,1365.012,Category3,South,Priority,Cash,Retail,Medium,,Returned,In-Store,Manager2,TV Ads
81,Small Business,United States of America,Paseo,Low,2905,300,871500,8715,862785,726250,2014-11-01 Small Business United States of America Paseo,14525,129417.75,Category2,North,Standard,Cash,Wholesale,Low,,Not Returned,Phone,Manager2,TV Ads
82,Government,France,Paseo,Low,2155,350,754250,7542.5,746707.5,560300,2014-12-01 Government France Paseo,10775,112006.125,Category2,West,Express,Credit Card,Retail,High,Flash Sale,Returned,In-Store,Manager2,
83,Government,France,Velo,Low,3864,20,77280,772.8,76507.2,38640,2014-04-01 Government France Velo,19320,11476.08,Category2,South,Express,Cash,Retail,Medium,,Not Returned,Phone,Manager3,
84,Government,Mexico,Velo,Low,362,7,2534,25.34,2508.66,1810,2014-05-01 Government Mexico Velo,1810,376.299,Category1,North,Priority,Cash,Wholesale,Low,Summer Sale,Not Returned,In-Store,Manager3,TV Ads
85,Enterprise,Canada,Velo,Low,923,125,115375,1153.75,114221.25,110760,2014-08-01 Enterprise Canada Velo,4615,17133.1875,Category3,South,Priority,Credit Card,Retail,High,,Not Returned,In-Store,Manager2,
86,Enterprise,United States of America,Velo,Low,663,125,82875,828.75,82046.25,79560,2013-10-01 Enterprise United States of America Velo,3315,12306.9375,Category3,East,Standard,Cash,Wholesale,Low,,,Online,Manager2,TV Ads
87,Government,Canada,Velo,Low,2092,7,14644,146.44,14497.56,10460,2013-11-01 Government Canada Velo,10460,2174.634,Category3,East,Priority,Credit Card,Retail,Medium,Summer Sale,Not Returned,Online,Manager3,
88,Government,Germany,VTT,Low,263,7,1841,18.41,1822.59,1315,2014-03-01 Government Germany VTT,1315,273.3885,,West,Priority,Credit Card,Wholesale,Medium,Holiday Discount,Returned,Phone,Manager2,
89,Government,Canada,VTT,Low,943.5,350,330225,3302.25,326922.75,245310,2014-04-01 Government Canada VTT,4717.5,49038.4125,Category2,East,Standard,PayPal,Retail,Low,,Returned,Online,Manager1,TV Ads
90,Enterprise,United States of America,VTT,Low,727,125,90875,908.75,89966.25,87240,2014-06-01 Enterprise United States of America VTT,3635,13494.9375,Category2,West,Standard,PayPal,Retail,High,Summer Sale,,Online,Manager3,
91,Enterprise,France,VTT,Low,787,125,98375,983.75,97391.25,94440,2014-06-01 Enterprise France VTT,3935,14608.6875,Category1,North,Standard,PayPal,Retail,Low,Holiday Discount,,Phone,Manager3,Email Campaign
92,Small Business,Germany,VTT,Low,986,300,295800,2958,292842,246500,2014-09-01 Small Business Germany VTT,4930,43926.3,Category1,North,Standard,Credit Card,Wholesale,High,Flash Sale,,Online,Manager2,
93,Small Business,Mexico,VTT,Low,494,300,148200,1482,146718,123500,2013-10-01 Small Business Mexico VTT,2470,22007.7,,South,Express,Credit Card,Retail,Low,,Not Returned,Online,Manager2,
94,Government,Mexico,VTT,Low,1397,350,488950,4889.5,484060.5,363220,2014-10-01 Government Mexico VTT,6985,72609.075,Category3,East,Standard,Credit Card,Wholesale,Medium,Holiday Discount,Not Returned,Phone,Manager3,TV Ads
95,Enterprise,France,VTT,Low,1744,125,218000,2180,215820,209280,2014-11-01 Enterprise France VTT,8720,32373,Category1,South,Priority,Credit Card,Retail,Low,Flash Sale,Not Returned,In-Store,Manager2,
96,Channel Partners,United States of America,Amarilla,Low,1989,12,23868,238.68,23629.32,5967,2013-09-01 Channel Partners United States of America Amarilla,9945,3544.398,Category1,North,Standard,Credit Card,Retail,High,Flash Sale,,Phone,Manager1,TV Ads
97,Midmarket,France,Amarilla,Low,321,15,4815,48.15,4766.85,3210,2013-11-01 Midmarket France Amarilla,1605,715.0275,Category1,South,Express,Cash,Wholesale,Low,Flash Sale,Not Returned,Online,Manager1,Email Campaign
98,Enterprise,Canada,Carretera,Low,742.5,125,92812.5,1856.25,90956.25,89100,2014-04-01 Enterprise Canada Carretera,3712.5,13643.4375,Category3,North,Priority,Cash,Retail,Medium,Holiday Discount,Not Returned,In-Store,Manager1,TV Ads
99,Channel Partners,Canada,Carretera,Low,1295,12,15540,310.8,15229.2,3885,2014-10-01 Channel Partners Canada Carretera,6475,2284.38,Category3,West,Priority,Credit Card,Retail,Medium,Summer Sale,Returned,Phone,Manager2,Email Campaign
100,Small Business,Germany,Carretera,Low,214,300,64200,1284,62916,53500,2013-10-01 Small Business Germany Carretera,1070,9437.4,Category3,West,Priority,Cash,Retail,Low,,Not Returned,In-Store,Manager3,TV Ads
101,Government,France,Carretera,Low,2145,7,15015,300.3,14714.7,10725,2013-11-01 Government France Carretera,10725,2207.205,Category3,West,Express,Credit Card,Wholesale,High,Flash Sale,Not Returned,Online,Manager1,
102,Government,Canada,Carretera,Low,2852,350,998200,19964,978236,741520,2014-12-01 Government Canada Carretera,14260,146735.4,Category1,North,Priority,Credit Card,Wholesale,Low,Flash Sale,,Phone,Manager2,
103,Channel Partners,United States of America,Montana,Low,1142,12,13704,274.08,13429.92,3426,2014-06-01 Channel Partners United States of America Montana,5710,2014.488,Category2,West,Express,Credit Card,Retail,Low,Holiday Discount,Returned,Online,Manager1,Email Campaign
104,Government,United States of America,Montana,Low,1566,20,31320,626.4,30693.6,15660,2014-10-01 Government United States of America Montana,7830,4604.04,,North,Express,Cash,Wholesale,High,Holiday Discount,,Online,Manager3,TV Ads
105,Channel Partners,Mexico,Montana,Low,690,12,8280,165.6,8114.4,2070,2014-11-01 Channel Partners Mexico Montana,3450,1217.16,Category3,North,Priority,PayPal,Retail,High,Holiday Discount,Returned,Online,Manager1,
106,Enterprise,Mexico,Montana,Low,1660,125,207500,4150,203350,199200,2013-11-01 Enterprise Mexico Montana,8300,30502.5,Category3,East,Standard,PayPal,Wholesale,Low,Holiday Discount,Returned,Phone,Manager1,Email Campaign
107,Midmarket,Canada,Paseo,Low,2363,15,35445,708.9,34736.1,23630,2014-02-01 Midmarket Canada Paseo,11815,5210.415,,West,Standard,PayPal,Retail,Medium,Holiday Discount,,Online,Manager3,Social Media
108,Small Business,France,Paseo,Low,918,300,275400,5508,269892,229500,2014-05-01 Small Business France Paseo,4590,40483.8,Category3,East,Standard,Cash,Wholesale,Low,,,In-Store,Manager2,Email Campaign
109,Small Business,Germany,Paseo,Low,1728,300,518400,10368,508032,432000,2014-05-01 Small Business Germany Paseo,8640,76204.8,,South,Express,Cash,Retail,Low,Holiday Discount,Returned,In-Store,Manager2,TV Ads
110,Channel Partners,United States of America,Paseo,Low,1142,12,13704,274.08,13429.92,3426,2014-06-01 Channel Partners United States of America Paseo,5710,2014.488,Category1,North,Priority,Cash,Wholesale,Medium,Flash Sale,,Phone,Manager1,TV Ads
111,Enterprise,Mexico,Paseo,Low,662,125,82750,1655,81095,79440,2014-06-01 Enterprise Mexico Paseo,3310,12164.25,Category1,East,Priority,PayPal,Wholesale,Low,Summer Sale,Returned,Online,Manager1,TV Ads
112,Channel Partners,Canada,Paseo,Low,1295,12,15540,310.8,15229.2,3885,2014-10-01 Channel Partners Canada Paseo,6475,2284.38,Category3,West,Standard,Credit Card,Retail,Low,Summer Sale,Not Returned,Online,Manager1,
113,Enterprise,Germany,Paseo,Low,809,125,101125,2022.5,99102.5,97080,2013-10-01 Enterprise Germany Paseo,4045,14865.375,Category2,North,Priority,Credit Card,Retail,Low,Holiday Discount,Returned,Phone,Manager3,Social Media
114,Enterprise,Mexico,Paseo,Low,2145,125,268125,5362.5,262762.5,257400,2013-10-01 Enterprise Mexico Paseo,10725,39414.375,Category1,South,Standard,Cash,Retail,Medium,Holiday Discount,,In-Store,Manager3,TV Ads
115,Channel Partners,France,Paseo,Low,1785,12,21420,428.4,20991.6,5355,2013-11-01 Channel Partners France Paseo,8925,3148.74,Category1,South,Priority,PayPal,Retail,Low,,,In-Store,Manager2,Email Campaign
116,Small Business,Canada,Paseo,Low,1916,300,574800,11496,563304,479000,2014-12-01 Small Business Canada Paseo,9580,84495.6,Category3,North,Priority,Cash,Wholesale,Low,,,Online,Manager3,Social Media
117,Government,Canada,Paseo,Low,2852,350,998200,19964,978236,741520,2014-12-01 Government Canada Paseo,14260,146735.4,Category1,South,Express,Credit Card,Wholesale,High,Summer Sale,Returned,Online,Manager2,Social Media
118,Enterprise,Canada,Paseo,Low,2729,125,341125,6822.5,334302.5,327480,2014-12-01 Enterprise Canada Paseo,13645,50145.375,Category2,North,Express,Cash,Wholesale,Medium,Flash Sale,,Online,Manager3,
119,Midmarket,United States of America,Paseo,Low,1925,15,28875,577.5,28297.5,19250,2013-12-01 Midmarket United States of America Paseo,9625,4244.625,Category2,North,Express,Cash,Retail,Low,Holiday Discount,,Online,Manager1,Email Campaign
120,Government,United States of America,Paseo,Low,2013,7,14091,281.82,13809.18,10065,2013-12-01 Government United States of America Paseo,10065,2071.377,Category2,South,Standard,Credit Card,Wholesale,High,Flash Sale,,Online,Manager1,TV Ads
121,Channel Partners,France,Paseo,Low,1055,12,12660,253.2,12406.8,3165,2014-12-01 Channel Partners France Paseo,5275,1861.02,Category3,East,Standard,Credit Card,Retail,High,,,Phone,Manager2,Social Media
122,Channel Partners,Mexico,Paseo,Low,1084,12,13008,260.16,12747.84,3252,2014-12-01 Channel Partners Mexico Paseo,5420,1912.176,Category2,South,Priority,Credit Card,Retail,High,Holiday Discount,Not Returned,In-Store,Manager2,Email Campaign
123,Government,United States of America,Velo,Low,1566,20,31320,626.4,30693.6,15660,2014-10-01 Government United States of America Velo,7830,4604.04,Category3,South,Express,Cash,Retail,High,Summer Sale,Not Returned,Online,Manager2,Email Campaign
124,Government,Germany,Velo,Low,2966,350,1038100,20762,1017338,771160,2013-10-01 Government Germany Velo,14830,152600.7,Category3,East,Standard,PayPal,Retail,Medium,Summer Sale,Not Returned,Phone,Manager2,Social Media
125,Government,Germany,Velo,Low,2877,350,1006950,20139,986811,748020,2014-10-01 Government Germany Velo,14385,148021.65,Category1,West,Priority,Credit Card,Retail,Medium,Flash Sale,Not Returned,In-Store,Manager1,TV Ads
126,Enterprise,Germany,Velo,Low,809,125,101125,2022.5,99102.5,97080,2013-10-01 Enterprise Germany Velo,4045,14865.375,Category2,North,Express,Credit Card,Retail,Medium,,,In-Store,Manager2,TV Ads
